sku_id,category,week,price,units_sold
256096022,T-shirt,1,18.52,109
256096022,T-shirt,2,19.46,101
256096022,T-shirt,3,18.9,106
256096022,T-shirt,4,16.99,125
256096022,T-shirt,5,20.01,96
256096022,T-shirt,6,19.57,100
265069021,T-shirt,1,20.78,75
265069021,T-shirt,2,19.99,80
265069021,T-shirt,3,18.96,87
265069021,T-shirt,4,19.9,80
265069021,T-shirt,5,19.97,80
265069021,T-shirt,6,20.72,75
306307076,T-shirt,1,18.51,88
306307076,T-shirt,2,20.54,74
306307076,T-shirt,3,18.93,85
306307076,T-shirt,4,20.24,76
306307076,T-shirt,5,17.69,94
306307076,T-shirt,6,18.48,88
306307076,T-shirt,7,18.65,87
306307076,T-shirt,8,16.52,105
306307076,T-shirt,9,17.98,92
306307076,T-shirt,10,20.58,74
354246014,T-shirt,1,20.8,58
354246014,T-shirt,2,16.88,81
354246014,T-shirt,3,16.99,80
354246014,T-shirt,4,20.28,60
354246014,T-shirt,5,20.55,59
354246014,T-shirt,6,17.05,79
357130017,T-shirt,1,17.38,87
357130017,T-shirt,2,17.0,90
357130017,T-shirt,3,16.92,91
357130017,T-shirt,4,18.6,78
357130017,T-shirt,5,18.33,80
357130017,T-shirt,6,17.29,88
357130017,T-shirt,7,16.22,97
357130017,T-shirt,8,18.4,79
357130017,T-shirt,9,20.79,65
357130017,T-shirt,10,19.25,74
381187001,T-shirt,1,17.03,74
381187001,T-shirt,2,19.75,59
381187001,T-shirt,3,16.59,78
381187001,T-shirt,4,16.42,79
381187001,T-shirt,5,16.87,76
381187001,T-shirt,6,16.87,76
381187001,T-shirt,7,20.11,57
433444016,T-shirt,1,17.2,54
433444016,T-shirt,2,19.08,46
433444016,T-shirt,3,20.62,40
433444016,T-shirt,4,17.28,54
433444016,T-shirt,5,19.45,44
433444016,T-shirt,6,20.93,39
433444016,T-shirt,7,16.74,57
433444016,T-shirt,8,16.43,58
433444016,T-shirt,9,19.36,45
433444016,T-shirt,10,17.69,52
445419011,T-shirt,1,18.65,36
445419011,T-shirt,2,17.56,40
445419011,T-shirt,3,19.86,33
445419011,T-shirt,4,19.81,33
445419011,T-shirt,5,20.21,32
445419011,T-shirt,6,20.47,31
445419011,T-shirt,7,18.16,38
445419011,T-shirt,8,19.82,33
449263028,T-shirt,1,19.61,98
449263028,T-shirt,2,16.32,132
449263028,T-shirt,3,20.3,93
449263028,T-shirt,4,20.17,94
449263028,T-shirt,5,16.44,131
449263028,T-shirt,6,16.11,135
449263028,T-shirt,7,16.27,133
464363016,T-shirt,1,16.26,107
464363016,T-shirt,2,20.77,72
464363016,T-shirt,3,20.89,71
464363016,T-shirt,4,19.69,78
464363016,T-shirt,5,18.32,88
464363016,T-shirt,6,17.09,98
464363016,T-shirt,7,20.05,76
464363016,T-shirt,8,19.67,79
464363016,T-shirt,9,17.1,98
466948004,T-shirt,1,18.3,103
466948004,T-shirt,2,20.12,89
466948004,T-shirt,3,19.41,94
466948004,T-shirt,4,19.21,95
466948004,T-shirt,5,19.24,95
466948004,T-shirt,6,17.34,112
466948004,T-shirt,7,17.85,107
466948004,T-shirt,8,16.22,125
490793031,T-shirt,1,20.04,80
490793031,T-shirt,2,19.4,84
490793031,T-shirt,3,17.38,101
490793031,T-shirt,4,20.78,76
490793031,T-shirt,5,19.53,84
490793031,T-shirt,6,20.93,75
490793031,T-shirt,7,20.85,75
490793031,T-shirt,8,20.58,77
503569013,T-shirt,1,20.22,73
503569013,T-shirt,2,17.89,89
503569013,T-shirt,3,20.1,74
503569013,T-shirt,4,18.2,87
503569013,T-shirt,5,19.76,76
503569013,T-shirt,6,16.67,100
503569013,T-shirt,7,20.61,71
506166016,T-shirt,1,17.91,101
506166016,T-shirt,2,18.36,97
506166016,T-shirt,3,17.27,107
506166016,T-shirt,4,16.15,119
506166016,T-shirt,5,19.44,88
506166016,T-shirt,6,18.17,99
506166046,T-shirt,1,19.75,32
506166046,T-shirt,2,16.94,41
506166046,T-shirt,3,16.3,44
506166046,T-shirt,4,18.23,37
506166046,T-shirt,5,17.0,41
506166046,T-shirt,6,19.49,33
506166046,T-shirt,7,17.77,38
506166046,T-shirt,8,18.24,37
506166046,T-shirt,9,16.56,43
511817001,T-shirt,1,19.21,72
511817001,T-shirt,2,17.98,80
511817001,T-shirt,3,16.01,97
511817001,T-shirt,4,18.22,78
511817001,T-shirt,5,16.02,96
511817001,T-shirt,6,16.37,93
511817001,T-shirt,7,18.14,79
511817001,T-shirt,8,16.4,93
511817001,T-shirt,9,17.37,85
513699034,T-shirt,1,16.04,62
513699034,T-shirt,2,17.84,52
513699034,T-shirt,3,17.58,54
513699034,T-shirt,4,16.15,61
513699034,T-shirt,5,19.1,47
513699034,T-shirt,6,19.12,47
513699034,T-shirt,7,16.35,60
514810001,T-shirt,1,20.18,86
514810001,T-shirt,2,16.23,122
514810001,T-shirt,3,16.86,115
514810001,T-shirt,4,16.23,122
514810001,T-shirt,5,16.95,114
514810001,T-shirt,6,16.01,125
514810001,T-shirt,7,18.51,99
514810001,T-shirt,8,18.63,98
514810001,T-shirt,9,19.28,93
515927006,T-shirt,1,19.24,70
515927006,T-shirt,2,18.92,72
515927006,T-shirt,3,16.77,87
515927006,T-shirt,4,20.42,63
515927006,T-shirt,5,17.83,79
515927006,T-shirt,6,16.24,92
516000095,T-shirt,1,19.54,70
516000095,T-shirt,2,16.23,94
516000095,T-shirt,3,19.54,70
516000095,T-shirt,4,17.43,84
516000095,T-shirt,5,19.25,72
516000095,T-shirt,6,19.13,72
516000095,T-shirt,7,17.13,87
516000095,T-shirt,8,18.19,79
528199003,T-shirt,1,20.16,45
528199003,T-shirt,2,17.02,59
528199003,T-shirt,3,18.14,53
528199003,T-shirt,4,17.78,55
528199003,T-shirt,5,20.55,44
528199003,T-shirt,6,20.59,43
528199003,T-shirt,7,19.24,48
541491007,T-shirt,1,18.28,39
541491007,T-shirt,2,18.46,38
541491007,T-shirt,3,16.83,44
541491007,T-shirt,4,18.65,37
